FeatureID	FeatureType	Contig	Strand	Left End	Right End	Num Intervals	FeatureName	db xref	function	GO biological process	locus tag	MultiFun	name	product	protein id	synonym	alternate product name	EC number	EnteroFam	GO cellular component	GO molecular function	structure	insertion sequence	regulation	molecular interaction	sequence correction	standard name	anticodon	codon recognized	note	comment	mutant phenotype	genetic interaction	transl except	modification	physical properties	evidence	ribosomal slippage	direction	pseudo	No Annotations	
ABE-0000006	CDS	Chromosome	forward	190	255	1	thrL	UniProtKB/Swiss-Prot:P0AD86	leader; Amino acid biosynthesis: Threonine	GO:0009088 threonine biosynthesis	b0001	metabolism; building block biosynthesis; amino acids; threonine	thrL	thr operon leader peptide	AAC73112.1	ECK0001 -!- JW4367																										
ABE-0000008	CDS	Chromosome	forward	337	2799	1	thrA	UniProtKB/Swiss-Prot:P00561	enzyme; Amino acid biosynthesis: Threonine	GO:0051289 protein homotetramerization -!- GO:0009088 threonine biosynthesis -!- GO:0009090 homoserine biosynthesis -!- GO:0009086 methionine biosynthesis -!- GO:0009089 lysine biosynthesis via diaminopimelate	b0002	metabolism; building block biosynthesis; amino acids; threonine -!- metabolism; building block biosynthesis; amino acids; methionine -!- metabolism; building block biosynthesis; amino acids; homoserine -!- location of gene products; cytoplasm	thrA	fused aspartokinase I and homoserine dehydrogenase I	AAC73113.1	Hs -!- thrD -!- ECK0002 -!- JW0001	bifunctional: aspartokinase I (N-terminal); homoserine dehydrogenase I (C-terminal)	1.1.1.3 -!- 2.7.2.4	EnteroFam0000008: Trusted threshold=2308.9; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).	GO:0005737 cytoplasm	GO:0000287 magnesium ion binding -!- GO:0005524 ATP binding -!- GO:0004072 aspartate kinase activity -!- GO:0004412 homoserine dehydrogenase activity -!- GO:0003959 NADPH dehydrogenase activity																					
ABE-0000010	CDS	Chromosome	forward	2801	3733	1	thrB	UniProtKB/Swiss-Prot:P00547	enzyme; Amino acid biosynthesis: Threonine	GO:0009088 threonine biosynthesis	b0003	metabolism; building block biosynthesis; amino acids; threonine -!- location of gene products; cytoplasm	thrB	homoserine kinase	AAC73114.1	ECK0003 -!- JW0002	HSK -!- HK	2.7.1.39	EnteroFam0000010: Trusted threshold=877.1; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).	GO:0005737 cytoplasm	GO:0004413 homoserine kinase activity -!- GO:0000287 magnesium ion binding -!- GO:0042803 protein homodimerization activity -!- GO:0005524 ATP binding																					
ABE-0000012	CDS	Chromosome	forward	3734	5020	1	thrC	UniProtKB/Swiss-Prot:P00934	enzyme; Amino acid biosynthesis: Threonine	GO:0009088 threonine biosynthesis	b0004	metabolism; building block biosynthesis; amino acids; threonine -!- location of gene products; cytoplasm	thrC	threonine synthase	AAC73115.1	ECK0004 -!- JW0003	TS	4.2.3.1	EnteroFam0000012: Trusted threshold=1190.8; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).	GO:0005737 cytoplasm																						
ABE-0000015	CDS	Chromosome	forward	5234	5530	1	yaaX	UniProtKB/Swiss-Prot:P75616			b0005		yaaX	predicted protein	AAC73116.1	ECK0005 -!- JW0004	orf, hypothetical protein																									
ABE-0000018	CDS	Chromosome	complement	5683	6459	1	yaaA	UniProtKB/Swiss-Prot:P0A8I3			b0006		yaaA	conserved protein	AAC73117.1	ECK0006 -!- JW0005	orf, hypothetical protein		EnteroFam0000018: Trusted threshold=686; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000020	CDS	Chromosome	complement	6529	7959	1	yaaJ	UniProtKB/Swiss-Prot:P30143	putative transport; Transport of small molecules: Amino acids, amines		b0007		yaaJ	predicted transporter	AAC73118.1	ECK0007 -!- JW0006	inner membrane transport protein																									
ABE-0000027	CDS	Chromosome	forward	8238	9191	1	talB	UniProtKB/Swiss-Prot:P0A870	enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway	GO:0009052 pentose-phosphate shunt, non-oxidative branch	b0008	metabolism; central intermediary metabolism; pentose phosphate shunt, non-oxidative branch -!- location of gene products; cytoplasm	talB	transaldolase B	AAC73119.1	ECK0008 -!- JW0007	transaldolase B	2.2.1.2		GO:0005737 cytoplasm																						
ABE-0000030	CDS	Chromosome	forward	9306	9893	1	mog	UniProtKB/Swiss-Prot:P0AF03	transport; Biosynthesis of cofactors, carriers: Molybdopterin	GO:0006777 Mo-molybdopterin cofactor biosynthesis	b0009	metabolism; building block biosynthesis; cofactor, small molecule carrier; molybdenum -!- location of gene products; cytoplasm	mog	predicted molybdochelatase	AAC73120.1	bisD -!- chlG -!- ECK0009 -!- JW0008 -!- mogA	putative molybdochetalase in molybdopterine biosynthesis		EnteroFam0000030: Trusted threshold=546.3; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).	GO:0005737 cytoplasm		PDB:1DI6 mutant; N2A, fragment: 2-14, 22-191, pure:1.45 A; X-ray diffraction -!- PDB:1DI7 mutant; N2A, fragment: 2-14, 20-191, pure:1.60 A; X-ray diffraction																				
ABE-0000032	CDS	Chromosome	complement	9928	10494	1	yaaH	UniProtKB/Swiss-Prot:P0AC98			b0010		yaaH	conserved inner membrane protein associated with acetate transport	AAC73121.1	ECK0010 -!- JW0009	orf, hypothetical protein		EnteroFam0000032: Trusted threshold=477.1; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000037	CDS	Chromosome	complement	10643	11356	1	yaaW	UniProtKB/Swiss-Prot:P75617	putative enzyme; Not classified		b0011		yaaW	conserved protein	AAC73122.1	ECK0011 -!- JW0010																										
ABE-0000040	CDS	Chromosome	forward	10830	11315	1	htgA	UniProtKB/Swiss-Prot:P28697	regulator; Adaptations, atypical conditions		b0012		htgA	predicted protein	AAC73123.1	htpY -!- ECK0012 -!- JW5001	positive regulator for sigma 32 heat shock promoters																									
ABE-0000043	CDS	Chromosome	complement	11382	11786	1	yaaI	UniProtKB/Swiss-Prot:P28696			b0013		yaaI	predicted protein	AAC73124.1	ECK0013 -!- JW0012	orf, hypothetical protein																									
ABE-0000052	CDS	Chromosome	forward	12163	14079	1	dnaK	UniProtKB/Swiss-Prot:P0A6Y8	factor; Chaperones	GO:0006457 protein folding -!- GO:0006970 response to osmotic stress	b0014	information transfer; protein related; chaperoning, folding -!- cell processes; adaptation to stress; osmotic pressure -!- location of gene products; cytoplasm	dnaK	chaperone Hsp70, co-chaperone with DnaJ	AAC73125.1	gro -!- groP -!- groPAB -!- groPC -!- groPF -!- grpC -!- grpF -!- seg -!- ECK0014 -!- JW0013	chaperone Hsp70; DNA biosynthesis; autoregulated heat shock proteins			GO:0005737 cytoplasm																						
ABE-0000054	CDS	Chromosome	forward	14168	15298	1	dnaJ	UniProtKB/Swiss-Prot:P08622	factor; Chaperones		b0015		dnaJ	chaperone Hsp40, co-chaperone with DnaK	AAC73126.1	groP -!- grpC -!- ECK0015 -!- JW0014	chaperone with DnaK; heat shock protein		EnteroFam0000054: Trusted threshold=1107.8; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000056	repeat_region	Chromosome	forward	15388	16730	1																	IS186																			
ABE-0000058	CDS	Chromosome	forward	15445	16557	1	insL-1	UniProtKB/Swiss-Prot:P08409	IS, phage, Tn; Transposon-related functions		b0016	extrachromosomal; transposon related	insL-1	IS186/IS421 transposase	AAC73127.1	yi81_1 -!- ECK0016 -!- JW0015 -!- insL																										
ABE-0000064	CDS	Chromosome	complement	16751	16960	1	mokC	UniProtKB/Swiss-Prot:P33236	component of addiction module -!- modulation of cell killing		b0018	cell processes; protection; cell killing -!- cryptic genes	mokC	regulatory protein for HokC, overlaps CDS of hokC	AAC73129.1	orf69 -!- gefL -!- ECK0018 -!- JW5879	regulatory peptide whose translation enables hokC (gef) expression																									
ABE-0000068	CDS	Chromosome	forward	17489	18655	1	nhaA	UniProtKB/Swiss-Prot:P13738	transport; Transport of small molecules: Cations		b0019		nhaA	sodium-proton antiporter	AAC73130.1	ant -!- ECK0020 -!- JW0018	Na+/H antiporter, pH dependent		EnteroFam0000068: Trusted threshold=875.3; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
